City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,73.78,overcast clouds,-22.9661,-42.0278,No hotel found
3,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
6,Barpali,IN,70.61,few clouds,21.2,83.5833,No hotel found
13,Rikitea,PF,74.88,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
15,Sainte-Rose,GP,75.24,broken clouds,16.3324,-61.6979,No hotel found
21,Pirapora,BR,71.2,overcast clouds,-17.345,-44.9419,Hotel Mundial
22,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Hotel Prainha
23,Saint-Leu,RE,75.31,few clouds,-21.15,55.2833,Iloha Seaview Hôtel
25,Beberibe,BR,77.54,overcast clouds,-4.1797,-38.1306,Pousada Ibitu
26,Vaini,TO,80.76,light rain,-21.2,-175.2,Keleti International Resort
28,Butaritari,KI,81.23,broken clouds,3.0707,172.7902,No hotel found
35,Bandarbeyla,SO,73.85,clear sky,9.4942,50.8122,No hotel found
45,Angoche,MZ,77.81,overcast clouds,-16.2325,39.9086,Hotel Quirimbas
48,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,No hotel found
52,West Melbourne,US,70.92,moderate rain,28.0717,-80.6534,Courtyard by Marriott - Melbourne West
55,Bubaque,GW,80.58,clear sky,11.2833,-15.8333,Chez Julio
56,Kapaa,US,80.58,clear sky,22.0752,-159.319,Pono Kai Resort
58,Yulara,AU,83.97,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
59,Labuhan,ID,84.61,light rain,-6.8844,112.2051,No hotel found
64,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le Baril
65,Vao,NC,75.6,clear sky,-22.6667,167.4833,Nataiwatch
67,Busselton,AU,74.62,few clouds,-33.65,115.3333,No hotel found
70,Lazaro Cardenas,MX,74.41,broken clouds,17.9583,-102.2,Hotel Sol del Pacífico
74,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Grand Bel Air
76,Ambilobe,MG,71.2,clear sky,-13.2,49.05,Hôtel National
77,Katobu,ID,81.82,heavy intensity rain,-4.9408,122.5276,No hotel found
84,Mareeba,AU,89.44,broken clouds,-17.0,145.4333,The Gateway Hotel
87,Mogadishu,SO,78.64,broken clouds,2.0371,45.3438,SYL Hotel
90,Paracuru,BR,81.1,broken clouds,-3.41,-39.0306,Pousada Sol e Lua
92,Vanimo,PG,84.88,overcast clouds,-2.6741,141.3028,CBC Guesthouse
94,Boyolangu,ID,82.38,overcast clouds,-8.1181,111.8935,No hotel found
96,Faanui,PF,80.28,overcast clouds,-16.4833,-151.75,Oa Oa Lodge
107,Totness,SR,78.31,overcast clouds,5.8833,-56.3167,No hotel found
109,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
118,Richards Bay,ZA,73.74,overcast clouds,-28.783,32.0377,Protea Hotel
120,Manuk Mangkaw,PH,79.95,moderate rain,4.8,119.85,No hotel found
121,Hilo,US,77.25,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
122,Ta Khmau,KH,75.25,few clouds,11.4833,104.95,Mangala Village
126,Lodwar,KE,82.67,overcast clouds,3.1191,35.5973,Lodwar Modern Lodge
128,Papara,BR,81.0,scattered clouds,-3.9839,-38.7273,No hotel found
130,Mayumba,GA,76.33,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
