City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,73.78,78,100,18.21,overcast clouds
1,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,78,40,20.71,scattered clouds
2,Whitianga,NZ,-36.8333,175.7,63.64,95,100,17.98,light rain
3,Souillac,MU,-20.5167,57.5167,75.58,78,40,9.22,scattered clouds
4,Barrow,US,71.2906,-156.7887,10.42,67,100,14.97,overcast clouds
5,Namibe,AO,-15.1961,12.1522,66.97,78,98,4.12,overcast clouds
6,Barpali,IN,21.2,83.5833,70.61,49,14,2.86,few clouds
7,Chuy,UY,-33.6971,-53.4616,57.51,69,0,3.65,clear sky
8,Guerande,FR,47.3291,-2.4283,33.96,95,100,10.38,overcast clouds
9,Nanortalik,GL,60.1432,-45.2371,18.01,71,32,9.31,scattered clouds
10,Shangqiu,CN,34.45,115.65,34.75,12,63,5.77,broken clouds
11,Saskylakh,RU,71.9167,114.0833,-14.53,92,47,12.73,scattered clouds
12,Magdeburg,DE,52.1667,11.6667,20.12,91,100,6.15,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,74.88,74,3,17.36,clear sky
14,Jamestown,US,42.097,-79.2353,26.19,64,0,4.61,clear sky
15,Sainte-Rose,GP,16.3324,-61.6979,75.24,83,75,0.0,broken clouds
16,Mount Gambier,AU,-37.8333,140.7667,56.43,54,93,12.1,overcast clouds
17,San Quintin,MX,30.4833,-115.95,56.12,62,0,11.95,clear sky
18,Nikolskoye,RU,59.7035,30.7861,24.69,94,98,7.49,light snow
19,Ushuaia,AR,-54.8,-68.3,42.46,75,40,14.97,scattered clouds
20,Vestmannaeyjar,IS,63.4427,-20.2734,26.73,75,94,10.45,overcast clouds
21,Pirapora,BR,-17.345,-44.9419,71.2,93,100,3.4,overcast clouds
22,Vila Velha,BR,-20.3297,-40.2925,75.15,95,100,17.27,overcast clouds
23,Saint-Leu,RE,-21.15,55.2833,75.31,73,14,3.49,few clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,69.82,52,0,12.66,clear sky
25,Beberibe,BR,-4.1797,-38.1306,77.54,81,100,8.77,overcast clouds
26,Vaini,TO,-21.2,-175.2,80.76,94,75,16.11,light rain
27,Khatanga,RU,71.9667,102.5,-19.41,96,55,11.07,broken clouds
28,Butaritari,KI,3.0707,172.7902,81.23,76,79,6.33,broken clouds
29,Castro,BR,-24.7911,-50.0119,58.41,94,97,11.34,overcast clouds
30,Cape Town,ZA,-33.9258,18.4232,67.12,87,20,3.44,few clouds
31,Fortuna,US,40.5982,-124.1573,41.92,86,0,4.61,clear sky
32,Pisco,PE,-13.7,-76.2167,69.85,83,0,12.66,clear sky
33,Guerrero Negro,MX,27.9769,-114.0611,57.72,59,1,13.11,clear sky
34,Kirkwall,GB,58.9848,-2.9587,35.65,64,75,25.32,broken clouds
35,Bandarbeyla,SO,9.4942,50.8122,73.85,68,7,14.65,clear sky
36,Upernavik,GL,72.7868,-56.1549,20.3,94,100,16.51,snow
37,Bluff,NZ,-46.6,168.3333,63.81,73,41,4.05,scattered clouds
