City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gweta,BW,-20.1833,25.2333,75.52,52,89,5.59,overcast clouds
1,Guerrero Negro,MX,27.9769,-114.0611,65.98,53,2,15.64,clear sky
2,Grand Gaube,MU,-20.0064,57.6608,76.37,77,35,7.0,light rain
3,Half Moon Bay,US,37.4636,-122.4286,61.41,76,20,4.61,few clouds
4,Hermanus,ZA,-34.4187,19.2345,60.8,87,40,6.4,scattered clouds
5,Severo-Kurilsk,RU,50.6789,156.125,27.88,82,99,15.12,light snow
6,Tacuarembo,UY,-31.7333,-55.9833,93.97,16,1,11.59,clear sky
7,Bluff,NZ,-46.6,168.3333,63.81,73,100,11.12,overcast clouds
8,Cape Town,ZA,-33.9258,18.4232,67.26,81,20,14.97,few clouds
9,Murray Bridge,AU,-35.1167,139.2667,55.13,54,30,9.71,scattered clouds
10,Labuhan,ID,-6.8844,112.2051,79.18,81,100,3.15,overcast clouds
11,Manono,CD,-7.3,27.4167,68.38,94,68,2.82,broken clouds
12,Copiapo,CL,-27.3667,-70.3333,65.89,42,13,9.37,few clouds
13,Kodiak,US,57.79,-152.4072,31.51,51,75,25.32,broken clouds
14,Dingle,PH,10.9995,122.6711,72.25,91,80,5.82,broken clouds
15,Hithadhoo,MV,-0.6,73.0833,81.54,77,100,13.69,light rain
16,Chokurdakh,RU,70.6333,147.9167,-10.12,98,100,7.58,overcast clouds
17,Olafsvik,IS,64.8945,-23.7142,32.67,68,41,15.01,scattered clouds
18,Bang Saphan,TH,11.2126,99.5117,75.09,88,34,5.39,scattered clouds
19,Indianola,US,41.3581,-93.5574,50.25,54,0,11.99,clear sky
20,Mackay,AU,-21.15,149.2,75.69,71,2,11.05,clear sky
21,Saldanha,ZA,-33.0117,17.9442,64.45,90,28,12.44,scattered clouds
22,Poronaysk,RU,49.2167,143.1167,4.91,87,38,5.55,scattered clouds
23,Hobart,AU,-42.8794,147.3294,49.86,81,75,19.57,broken clouds
24,Punta Arenas,CL,-53.15,-70.9167,53.62,49,0,17.27,clear sky
25,Mataura,NZ,-46.1927,168.8643,63.48,59,100,4.99,overcast clouds
26,Cedar City,US,37.6775,-113.0619,31.39,93,100,3.44,mist
27,La Asuncion,VE,11.0333,-63.8628,82.13,69,100,4.61,overcast clouds
28,Yulara,AU,-25.2406,130.9889,74.12,30,94,21.03,overcast clouds
29,Mar Del Plata,AR,-38.0023,-57.5575,90.82,84,0,21.0,clear sky
30,Norman Wells,CA,65.282,-126.8329,-30.96,68,20,5.75,few clouds
31,Chuy,UY,-33.6971,-53.4616,75.29,58,2,11.65,clear sky
32,College,US,64.8569,-147.8028,17.47,88,100,0.0,light snow
33,Portland,US,45.5234,-122.6762,44.28,83,100,8.05,overcast clouds
34,Nanortalik,GL,60.1432,-45.2371,27.19,78,98,7.29,overcast clouds
35,Vila Velha,BR,-20.3297,-40.2925,75.15,94,100,11.5,mist
36,Rikitea,PF,-23.1203,-134.9692,75.38,79,20,19.57,light rain
37,Green River,US,41.5286,-109.4662,27.0,63,9,3.98,clear sky
38,Thompson,CA,55.7435,-97.8558,-14.64,70,75,4.61,broken clouds
39,Butterworth,MY,5.3991,100.3638,80.64,91,20,5.75,few clouds
40,Barrow,US,71.2906,-156.7887,14.02,85,100,20.71,mist
41,Vestmannaeyjar,IS,63.4427,-20.2734,34.9,68,94,6.87,overcast clouds
42,New Norfolk,AU,-42.7826,147.0587,49.5,65,100,4.0,overcast clouds
43,Victoria,HK,22.2855,114.1577,65.32,80,77,8.01,broken clouds
44,Busselton,AU,-33.65,115.3333,56.97,86,85,6.58,overcast clouds
45,Saint-Philippe,RE,-21.3585,55.7679,76.59,86,37,13.87,light rain
46,Luderitz,NA,-26.6481,15.1594,60.06,82,0,10.25,clear sky
47,Dikson,RU,73.5069,80.5464,-14.35,96,92,18.45,overcast clouds
48,Nianzishan,CN,47.5167,122.8833,3.67,85,2,6.42,clear sky
49,Cherskiy,RU,68.75,161.3,-22.7,96,54,6.35,broken clouds
50,Port Alfred,ZA,-33.5906,26.891,67.17,94,26,3.0,scattered clouds
51,Sartana,UA,47.1744,37.6927,33.13,80,97,14.45,overcast clouds
52,Atuona,PF,-9.8,-139.0333,77.79,76,4,18.54,clear sky
53,Georgetown,MY,5.4112,100.3354,80.53,91,20,5.75,few clouds
54,Lamu,KE,-2.2717,40.902,82.62,82,52,8.28,broken clouds
55,Limbang,MY,4.75,115.0,75.31,98,100,2.42,overcast clouds
56,Belmonte,BR,-15.8631,-38.8828,76.59,84,66,5.95,broken clouds
57,Doha,QA,25.2867,51.5333,76.98,78,0,8.05,clear sky
58,Chagoda,RU,59.164,35.3285,17.73,86,99,12.06,overcast clouds
59,Port Elizabeth,ZA,-33.918,25.5701,71.1,87,20,21.85,few clouds
60,Jamestown,US,42.097,-79.2353,44.24,77,100,3.0,fog
61,Bethel,US,41.3712,-73.414,58.05,88,100,4.18,overcast clouds
62,Kropotkin,RU,45.4375,40.5756,31.62,80,90,11.63,overcast clouds
63,Provideniya,RU,64.3833,-173.3,19.51,73,100,13.42,light snow
64,Lagoa,PT,39.05,-27.9833,60.58,76,23,15.7,few clouds
65,Waingapu,ID,-9.6567,120.2641,77.77,79,94,2.26,overcast clouds
66,Nikolskoye,RU,59.7035,30.7861,22.91,87,100,12.41,overcast clouds
67,Kennett,US,36.2362,-90.0556,59.0,93,100,7.0,mist
68,Biabou,VC,13.2,-61.1333,79.03,69,100,8.81,overcast clouds
69,Hambantota,LK,6.1241,81.1185,76.32,78,100,6.78,overcast clouds
70,Purgstall,AT,48.0584,15.1348,36.43,91,20,3.02,few clouds
71,Viedma,AR,-40.8135,-62.9967,88.25,19,99,14.47,overcast clouds
72,Albany,US,42.6001,-73.9662,57.72,91,100,1.01,overcast clouds
73,Saint Anthony,US,45.0205,-93.218,21.15,67,0,10.36,clear sky
74,Isangel,VU,-19.55,169.2667,82.51,89,75,2.3,broken clouds
75,Ancud,CL,-41.8697,-73.8203,59.95,81,51,19.6,light rain
76,Mogadishu,SO,2.0371,45.3438,80.44,82,100,15.39,light rain
77,Klaksvik,FO,62.2266,-6.589,32.92,73,100,27.29,light snow
78,Bengkulu,ID,-3.8004,102.2655,74.82,90,99,4.88,overcast clouds
79,Asau,RO,46.4333,26.4,36.52,87,100,4.25,overcast clouds
80,Bredasdorp,ZA,-34.5322,20.0403,62.24,87,58,2.57,broken clouds
81,Kaitangata,NZ,-46.2817,169.8464,58.17,61,100,7.81,overcast clouds
82,Sao Filipe,CV,14.8961,-24.4956,75.51,77,17,9.4,few clouds
83,Ust-Shonosha,RU,61.1531,41.343,17.65,76,98,9.89,overcast clouds
84,Iqaluit,CA,63.7506,-68.5145,11.93,67,100,14.97,overcast clouds
85,Ossora,RU,59.2353,163.0719,10.92,86,90,4.36,overcast clouds
86,Sakaraha,MG,-22.9,44.5333,75.16,77,92,3.51,overcast clouds
87,Qaanaaq,GL,77.484,-69.3632,13.19,71,75,9.73,broken clouds
88,Richards Bay,ZA,-28.783,32.0377,74.62,88,33,11.54,scattered clouds
89,Bolkhov,RU,53.4433,36.0044,18.54,91,100,17.43,light snow
90,Ribeira Grande,PT,38.5167,-28.7,57.6,88,40,18.41,light rain
91,Husavik,IS,66.0449,-17.3389,25.66,68,100,8.57,overcast clouds
92,Bataipora,BR,-22.2953,-53.2711,83.14,66,80,0.43,broken clouds
93,Port Lincoln,AU,-34.7333,135.8667,56.59,59,6,10.71,clear sky
94,Faanui,PF,-16.4833,-151.75,81.0,74,100,21.05,overcast clouds
95,Lavrentiya,RU,65.5833,-171.0,14.67,77,41,7.7,scattered clouds
96,Baykit,RU,61.67,96.37,8.29,89,100,9.8,overcast clouds
97,Umm Lajj,SA,25.0213,37.2685,73.74,68,0,9.95,clear sky
98,Hilo,US,19.7297,-155.09,77.29,76,100,4.61,light rain
99,Avarua,CK,-21.2078,-159.775,80.65,78,20,12.66,light rain
100,Kapaa,US,22.0752,-159.319,80.92,76,20,18.41,light rain
101,East London,ZA,-33.0153,27.9116,70.65,91,0,6.33,clear sky
102,Katpadi,IN,12.9833,79.1333,66.45,74,100,5.44,overcast clouds
103,Sobolevo,RU,54.4299,31.8996,24.22,94,100,17.87,light snow
104,Puerto Ayora,EC,-0.7393,-90.3518,82.36,89,8,7.0,clear sky
105,Daru,PG,-9.0763,143.2092,80.31,81,100,2.55,overcast clouds
106,Mandal,IN,25.45,74.5667,57.34,30,0,1.74,clear sky
107,Arlit,NE,18.7369,7.3853,74.48,12,4,8.12,clear sky
108,Palafrugell,ES,41.9174,3.1631,53.35,54,82,1.01,broken clouds
109,Liverpool,GB,53.4106,-2.9779,35.55,84,40,2.3,scattered clouds
110,Pisco,PE,-13.7,-76.2167,71.65,73,0,8.05,clear sky
111,Anadyr,RU,64.75,177.4833,0.1,71,0,4.47,clear sky
112,Isabela,PH,6.7085,121.9711,77.23,85,96,1.16,overcast clouds
113,Tiszabezded,HU,48.3667,22.15,34.48,86,19,6.46,few clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,70,75,11.5,broken clouds
115,Waitati,NZ,-45.75,170.5667,55.8,66,100,12.88,overcast clouds
116,Ushuaia,AR,-54.8,-68.3,51.46,43,40,24.16,scattered clouds
117,Castro,BR,-24.7911,-50.0119,76.91,67,0,3.87,clear sky
118,Pemangkat,ID,1.1667,108.9667,74.7,96,100,6.71,overcast clouds
119,Whitianga,NZ,-36.8333,175.7,57.74,90,100,21.9,overcast clouds
120,Margate,GB,51.3813,1.3862,36.7,86,42,5.01,scattered clouds
121,Pangnirtung,CA,66.1451,-65.7125,8.6,66,100,2.3,overcast clouds
122,Fairbanks,US,64.8378,-147.7164,17.49,88,75,0.0,light snow
123,Vanimo,PG,-2.6741,141.3028,75.18,95,100,2.39,overcast clouds
124,Inhambane,MZ,-23.865,35.3833,77.11,87,27,7.78,scattered clouds
125,Nakamura,JP,32.9833,132.9333,40.33,82,29,3.58,scattered clouds
126,Teguldet,RU,57.3064,88.1667,4.93,93,100,10.92,light snow
127,Haines Junction,CA,60.7522,-137.5108,13.95,92,100,0.0,overcast clouds
128,Veraval,IN,20.9,70.3667,72.61,52,0,10.2,clear sky
129,General Roca,AR,-39.0333,-67.5833,89.62,27,59,34.54,broken clouds
130,Santiago Del Estero,AR,-27.7951,-64.2615,110.86,12,73,10.71,broken clouds
131,Salina Cruz,MX,16.1667,-95.2,88.75,47,0,22.15,clear sky
132,Batagay-Alyta,RU,67.8006,130.4114,-19.32,86,100,2.66,overcast clouds
133,Clyde River,CA,70.4692,-68.5914,-5.57,65,0,5.75,clear sky
134,Butaritari,KI,3.0707,172.7902,80.13,81,96,12.12,light rain
135,Teeli,RU,51.0333,90.2333,-11.25,95,100,0.67,overcast clouds
136,Contamana,PE,-7.3333,-75.0167,78.73,86,100,4.0,light rain
137,Tiksi,RU,71.6872,128.8694,-9.2,100,100,9.73,overcast clouds
138,Cabo San Lucas,MX,22.8909,-109.9124,85.6,71,37,1.01,scattered clouds
139,Hasaki,JP,35.7333,140.8333,40.21,50,0,12.97,clear sky
140,Lebu,CL,-37.6167,-73.65,60.91,95,95,14.9,overcast clouds
141,Yellowknife,CA,62.456,-114.3525,-17.88,76,20,6.91,few clouds
142,Gerede,TR,40.8008,32.1969,33.93,83,98,4.9,overcast clouds
143,Chunoyar,RU,57.4467,97.3217,8.55,92,100,11.61,light snow
144,Artyshta,RU,54.1222,86.2909,-7.28,97,60,3.33,broken clouds
145,The Valley,AI,18.217,-63.0578,79.83,69,40,10.36,scattered clouds
146,Constitucion,CL,-35.3333,-72.4167,66.72,71,22,9.82,few clouds
147,Codrington,AU,-38.2667,141.9667,53.62,54,81,18.5,broken clouds
148,Abilene,US,32.4487,-99.7331,71.78,68,100,5.75,overcast clouds
149,Puerto Lopez,CO,4.0845,-72.956,84.13,67,49,3.47,moderate rain
150,Saint George,US,37.1041,-113.5841,48.43,74,75,3.0,broken clouds
151,Flinders,AU,-34.5833,150.8552,65.17,74,16,7.0,few clouds
152,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,75,8.05,broken clouds
153,Salalah,OM,17.0151,54.0924,74.53,71,27,4.61,scattered clouds
154,Mosquera,CO,4.7059,-74.2302,59.09,77,75,4.61,broken clouds
155,Yeppoon,AU,-23.1333,150.7333,74.98,70,2,6.55,clear sky
156,Cidreira,BR,-30.1811,-50.2056,72.91,78,0,7.49,clear sky
157,Raudeberg,NO,61.9875,5.1352,31.96,31,100,16.69,light snow
158,Lianyuan,CN,27.6883,111.6642,45.36,84,91,1.01,overcast clouds
159,Sitka,US,57.0531,-135.33,42.69,75,100,18.41,light rain
160,Mananara,MG,-16.1667,49.7667,72.1,93,16,5.28,light rain
161,Markt Schwaben,DE,48.1895,11.8691,35.26,86,0,2.3,clear sky
162,Bemban,MY,2.2684,102.3746,77.09,92,20,3.44,few clouds
163,Rantepao,ID,-2.9701,119.8978,63.27,91,79,2.64,broken clouds
164,Mahebourg,MU,-20.4081,57.7,76.24,88,75,13.8,light rain
165,Surt,LY,31.2089,16.5887,69.87,44,41,14.7,scattered clouds
166,Emba,KZ,48.8264,58.1442,0.59,92,10,4.88,clear sky
167,Champerico,GT,14.3,-91.9167,90.14,65,1,5.26,clear sky
168,Lorengau,PG,-2.0226,147.2712,80.22,81,97,6.73,overcast clouds
169,Ponta Do Sol,PT,32.6667,-17.1,66.0,85,23,15.97,light rain
170,Yumen,CN,40.2833,97.2,14.63,81,98,5.17,overcast clouds
171,Plettenberg Bay,ZA,-34.0527,23.3716,61.34,86,0,3.98,clear sky
172,Fortuna Foothills,US,32.6578,-114.4119,64.69,36,0,11.5,clear sky
173,Nemuro,JP,43.3236,145.575,32.16,58,66,4.65,broken clouds
174,Kalengwa,ZM,-13.4659,25.0027,64.94,75,64,3.56,broken clouds
175,San Patricio,US,28.017,-97.5169,82.49,59,27,15.5,scattered clouds
176,Port Macquarie,AU,-31.4333,152.9167,70.9,83,49,3.67,scattered clouds
177,Lompoc,US,34.6391,-120.4579,64.02,64,0,4.0,clear sky
178,Jardim,BR,-21.4803,-56.1381,87.22,55,100,1.88,overcast clouds
179,Raga,SS,8.4596,25.678,73.17,29,19,4.85,few clouds
180,Khatanga,RU,71.9667,102.5,-28.26,89,6,12.06,clear sky
181,Airai,TL,-8.9266,125.4092,58.23,69,66,1.23,broken clouds
182,Longyearbyen,SJ,78.2186,15.6401,22.84,68,40,13.8,light snow
183,Ndele,CF,8.4109,20.6473,73.09,24,2,5.26,clear sky
184,Prescott,US,34.54,-112.4685,49.68,52,75,13.0,broken clouds
185,Teguise,ES,29.0605,-13.564,68.22,78,20,9.22,light rain
186,Iberia,US,29.9502,-91.7507,82.36,65,75,12.66,broken clouds
187,Najran,SA,17.4924,44.1277,65.05,29,4,1.16,clear sky
188,Sechura,PE,-5.5569,-80.8222,76.68,56,95,14.27,overcast clouds
189,Carnarvon,AU,-24.8667,113.6333,70.32,65,57,14.38,broken clouds
190,Saskylakh,RU,71.9167,114.0833,-28.03,98,99,4.65,overcast clouds
191,Grand Forks,US,47.9417,-97.4337,-2.27,61,0,0.0,clear sky
192,Concepcion,CL,-36.827,-73.0498,67.8,77,75,11.5,broken clouds
193,Maniitsoq,GL,65.4167,-52.9,31.44,95,100,19.75,snow
194,Narsaq,GL,60.9167,-46.05,25.02,72,99,5.88,overcast clouds
195,Kloulklubed,PW,7.0419,134.2556,78.89,82,99,3.38,overcast clouds
196,Tasiilaq,GL,65.6145,-37.6368,13.06,74,94,3.22,overcast clouds
197,Bandiagara,ML,14.3501,-3.6104,79.3,16,0,8.7,clear sky
198,Ballina,AU,-28.8667,153.5667,71.02,99,81,5.19,broken clouds
199,Houma,US,29.5958,-90.7195,84.0,62,30,5.99,scattered clouds
200,Ugljevik,BA,44.6636,19.0203,40.37,94,100,3.98,light rain
201,Igrim,RU,63.1906,64.4162,14.23,83,97,9.84,overcast clouds
202,Rio Gallegos,AR,-51.6226,-69.2181,57.25,38,75,10.36,broken clouds
203,Wajima,JP,37.4,136.9,48.63,68,100,18.68,light rain
204,Zhaoyuan,CN,37.3592,120.3964,35.29,56,82,3.18,broken clouds
205,Zhob,PK,31.3411,69.4481,50.94,48,7,1.83,clear sky
206,Changji,CN,44.0167,87.3167,7.59,85,75,2.24,mist
207,Beringovskiy,RU,63.05,179.3167,7.97,76,2,8.43,clear sky
208,Baijiantan,CN,45.6333,85.1833,10.9,96,97,3.78,overcast clouds
209,Tinskoy,RU,56.1525,96.9161,9.21,89,100,12.62,overcast clouds
210,Hay River,CA,60.8156,-115.7999,-14.84,76,20,2.3,few clouds
211,Beloha,MG,-25.1667,45.05,76.51,77,0,3.83,clear sky
212,Huercal-Overa,ES,37.389,-1.9454,54.23,87,99,1.28,overcast clouds
213,Kumluca,TR,36.3703,30.2869,58.12,76,79,4.38,broken clouds
214,Sembe,CG,1.6481,14.5806,69.69,97,88,3.02,overcast clouds
215,Wodonga,AU,-36.1167,146.8833,52.97,100,6,9.17,clear sky
216,Kilrush,IE,52.6397,-9.4833,33.55,85,97,6.29,overcast clouds
217,Kruisfontein,ZA,-34.0033,24.7314,68.88,77,77,10.71,broken clouds
218,Flin Flon,CA,54.7682,-101.865,-14.96,64,100,6.91,overcast clouds
219,Aktas,KZ,49.7789,72.9608,-18.65,99,9,3.91,clear sky
220,Hobyo,SO,5.3505,48.5268,79.36,81,97,16.17,overcast clouds
221,Ilulissat,GL,69.2167,-51.1,26.11,81,100,6.15,overcast clouds
222,Byron Bay,AU,-28.65,153.6167,70.95,86,85,7.52,overcast clouds
223,Igarka,RU,67.4667,86.5833,11.37,95,100,9.35,light snow
224,Lubbock,US,33.6001,-101.8338,55.65,88,100,3.44,moderate rain
225,Carnaiba,BR,-8.7,-37.6667,83.79,35,13,11.95,light rain
226,Vaini,TO,-21.2,-175.2,82.56,83,75,3.44,broken clouds
227,Necochea,AR,-38.5473,-58.7368,94.26,25,70,19.66,broken clouds
228,Geraldton,AU,-28.7667,114.6,66.61,77,100,9.22,overcast clouds
229,Fiumicino,IT,41.7675,12.2291,57.31,30,6,6.93,clear sky
230,Ostrovnoy,RU,68.0531,39.5131,25.32,86,100,13.22,overcast clouds
231,Yenangyaung,MM,20.4667,94.8833,69.19,66,31,3.76,scattered clouds
232,Ejura,GH,7.3856,-1.3562,78.6,43,49,3.47,scattered clouds
233,Maldonado,UY,-34.6667,-54.9167,86.23,21,0,14.36,clear sky
234,Ahipara,NZ,-35.1667,173.1667,63.23,77,90,16.31,overcast clouds
235,Coahuayana,MX,18.7333,-103.6833,86.29,59,6,6.33,clear sky
236,Sibolga,ID,1.7427,98.7792,74.55,93,100,2.21,overcast clouds
237,Oranjemund,NA,-28.55,16.4333,60.21,90,0,5.08,clear sky
238,Baishishan,CN,43.5833,127.5667,10.6,95,62,3.76,broken clouds
239,Kulhudhuffushi,MV,6.6221,73.07,80.4,74,100,1.68,overcast clouds
240,Lulea,SE,65.5842,22.1547,17.67,93,75,4.61,broken clouds
241,Harper,LR,4.375,-7.7169,78.35,84,22,5.7,few clouds
242,Goundam,ML,16.4145,-3.6708,82.09,14,0,8.05,clear sky
243,Xiangxiang,CN,27.7333,112.5333,45.97,87,96,1.61,overcast clouds
244,Torbay,CA,47.6666,-52.7314,37.76,97,100,10.36,light intensity drizzle
245,Grafton,US,42.207,-71.6856,57.56,91,100,1.01,overcast clouds
246,Morros,BR,-9.4467,-46.3003,80.94,60,52,4.43,broken clouds
247,Cowra,AU,-33.8333,148.6833,51.98,59,0,12.88,clear sky
248,Kidal,ML,18.4411,1.4078,77.31,14,0,10.56,clear sky
249,Pulandian,CN,39.3953,121.9669,33.21,52,100,3.18,overcast clouds
250,Vaitape,PF,-16.5167,-151.75,81.01,74,100,21.05,overcast clouds
251,Darnah,LY,32.767,22.6367,65.41,65,5,6.55,clear sky
252,Shiyan,CN,32.6475,110.7781,39.07,72,23,3.8,few clouds
253,Fortuna,US,40.5982,-124.1573,56.93,72,0,6.91,clear sky
254,Jinchang,CN,38.4953,102.1739,22.37,61,54,4.61,broken clouds
255,Cockburn Town,TC,21.4612,-71.1419,78.26,55,11,19.01,few clouds
256,Palmeirais,BR,-5.9778,-43.0633,86.29,37,92,3.58,overcast clouds
257,Snezhnogorsk,RU,69.1933,33.2531,19.18,98,65,6.11,broken clouds
258,Tonaya,MX,19.7833,-103.9667,86.68,38,6,3.11,clear sky
259,Batemans Bay,AU,-35.7167,150.1833,58.1,82,71,7.23,broken clouds
260,Molina De Segura,ES,38.0546,-1.2076,58.8,89,98,4.0,overcast clouds
261,Upernavik,GL,72.7868,-56.1549,27.99,62,100,21.83,overcast clouds
262,Namatanai,PG,-3.6667,152.4333,80.28,77,89,5.35,light rain
263,Gigmoto,PH,13.7796,124.39,77.56,82,100,8.9,overcast clouds
264,Surgut,RU,61.25,73.4167,0.09,77,0,8.99,clear sky
265,Taltal,CL,-25.4,-70.4833,68.18,70,70,4.21,broken clouds
266,Fernie,CA,49.5,-115.0687,32.68,94,100,5.21,overcast clouds
267,Oil City,US,41.4339,-79.7064,51.19,97,100,6.91,mist
268,Frolovo,RU,49.7713,43.6622,11.39,64,10,14.94,clear sky
269,Kavaratti,IN,10.5669,72.642,81.57,71,100,5.3,overcast clouds
270,Omboue,GA,-1.5746,9.2618,76.93,84,100,2.28,overcast clouds
271,Dhidhdhoo,MV,6.8833,73.1,80.62,73,100,2.1,overcast clouds
272,Opuwo,NA,-18.0607,13.84,68.85,23,0,9.55,clear sky
273,Atherton,GB,53.5237,-2.4935,35.15,81,3,3.18,clear sky
274,Westlock,CA,54.1502,-113.8688,25.11,87,88,6.69,overcast clouds
275,San Juan,AR,-31.5375,-68.5364,102.83,12,97,4.25,overcast clouds
276,Iskateley,RU,67.6803,53.1512,16.11,93,99,14.14,overcast clouds
277,Mecca,SA,21.4267,39.8261,74.73,55,0,6.17,clear sky
278,Sterling,US,39.0062,-77.4286,56.1,90,100,4.61,overcast clouds
279,Biak,ID,-0.9131,122.8766,74.77,75,77,2.77,broken clouds
280,Seoul,KR,37.5683,126.9778,36.84,90,0,2.3,clear sky
281,Meulaboh,ID,4.1363,96.1285,74.66,90,100,5.61,light rain
282,Rocha,UY,-34.4833,-54.3333,83.43,30,0,14.54,clear sky
283,Moron,AR,-34.6534,-58.6198,93.79,30,94,10.04,overcast clouds
284,Stephenville,US,32.2207,-98.2023,75.56,75,100,1.01,overcast clouds
285,Nioro,GM,13.35,-15.75,86.92,29,1,4.21,clear sky
286,San Cristobal,VE,7.7669,-72.225,75.38,69,40,4.27,scattered clouds
287,Cedral,MX,23.8,-100.7333,74.93,20,0,12.01,clear sky
288,Karratha,AU,-20.7377,116.8463,75.96,56,1,13.29,clear sky
289,Fuyu,CN,45.1833,124.8167,9.91,82,3,5.75,clear sky
